Timestamp,OfferedLoad,RngRun,Flow,Throughput,Delay
2017-10-26 22:34,2,1,8,0.00158724,2.8294
2017-10-26 22:34,2,1,9,-0,-nan
2017-10-26 23:53,2,2,0,0.76109,0.00515076
2017-10-26 23:53,2,2,1,0.446861,0.527032
2017-10-26 23:53,2,2,2,0.76744,0.0227788
2017-10-26 23:53,2,2,3,0.160152,0.572479
2017-10-26 23:53,2,2,4,0.759315,0.00625887
2017-10-26 23:53,2,2,5,0.0298895,7.33428
2017-10-26 23:53,2,2,6,-0,-nan
2017-10-26 23:53,2,2,7,0.120781,0.5329
2017-10-26 23:53,2,2,8,0.144507,0.049754
2017-10-26 23:53,2,2,9,-0,-nan
2017-10-27 01:15,2,3,0,0.732976,0.00693837
2017-10-27 01:15,2,3,1,0.404632,0.576041
2017-10-27 01:15,2,3,2,0.631127,0.0170178
2017-10-27 01:15,2,3,3,0.0325857,0.641757
2017-10-27 01:15,2,3,4,-0,-nan
2017-10-27 01:15,2,3,5,0.00854527,0.967267
2017-10-27 01:15,2,3,6,0.0929944,0.230636
2017-10-27 01:15,2,3,7,0.768113,0.0854975
2017-10-27 01:15,2,3,8,0.000421114,0.0118838
2017-10-27 01:15,2,3,9,-0,-nan
2017-10-27 02:34,2,4,0,-0,-nan
2017-10-27 02:34,2,4,1,0.275594,0.422754
2017-10-27 02:34,2,4,2,0.603613,0.0144028
2017-10-27 02:34,2,4,3,-0,-nan
2017-10-27 02:34,2,4,4,-0,-nan
2017-10-27 02:34,2,4,5,0.0162616,0.702882
2017-10-27 02:34,2,4,6,0.0100916,1.12224
2017-10-27 02:34,2,4,7,0.62175,0.115112
2017-10-27 02:34,2,4,8,-0,-nan
2017-10-27 02:34,2,4,9,-0,-nan
2017-10-27 05:30,5,1,0,-0,-nan
2017-10-27 05:30,5,1,1,0.929055,0.640772
2017-10-27 05:30,5,1,2,0.609236,0.0654072
2017-10-27 05:30,5,1,3,0.181431,1.14488
2017-10-27 05:30,5,1,4,-0,-nan
2017-10-27 05:30,5,1,5,-0,-nan
2017-10-27 05:30,5,1,6,-0,-nan
2017-10-27 05:30,5,1,7,-0,-nan
2017-10-27 05:30,5,1,8,-0,-nan
2017-10-27 05:30,5,1,9,-0,-nan
2017-10-27 08:27,5,2,0,-0,-nan
2017-10-27 08:27,5,2,1,0.96058,0.397969
2017-10-27 08:27,5,2,2,0.188773,0.115065
2017-10-27 08:27,5,2,3,0.0507216,0.672991
2017-10-27 08:27,5,2,4,0.64837,0.107493
2017-10-27 08:27,5,2,5,-0,-nan
2017-10-27 08:27,5,2,6,-0,-nan
2017-10-27 08:27,5,2,7,-0,-nan
2017-10-27 08:27,5,2,8,0.461002,0.0224692
2017-10-27 08:27,5,2,9,-0,-nan
2017-10-27 11:23,5,3,0,-0,-nan
2017-10-27 11:23,5,3,1,0.431358,1.00835
2017-10-27 11:23,5,3,2,0.254486,0.0419107
2017-10-27 11:23,5,3,3,0.100568,0.411166
2017-10-27 11:23,5,3,4,0.113588,0.44475
2017-10-27 11:23,5,3,5,-0,-nan
2017-10-27 11:23,5,3,6,-0,-nan
2017-10-27 11:23,5,3,7,-0,-nan
2017-10-27 11:23,5,3,8,0.119742,0.0932174
2017-10-27 11:23,5,3,9,-0,-nan
2017-10-27 14:20,5,4,0,-0,-nan
2017-10-27 14:20,5,4,1,0.320356,0.972148
2017-10-27 14:20,5,4,2,0.446233,0.0506956
2017-10-27 14:20,5,4,3,0.0174275,2.97125
2017-10-27 14:20,5,4,4,0.909888,0.259071
2017-10-27 14:20,5,4,5,-0,-nan
2017-10-27 14:20,5,4,6,-0,-nan
2017-10-27 14:20,5,4,7,-0,-nan
2017-10-27 14:20,5,4,8,-0,-nan
2017-10-27 14:20,5,4,9,-0,-nan
